date,line,value,source,url,note
2021-11-01,More concerned than excited about AI (Pew),37,Pew Research Center,https://www.pewresearch.org/short-reads/2026/03/12/key-findings-about-how-americans-view-artificial-intelligence/,First time Pew asked the question; figure reported in Pew's March 2026 round-up
2022-12-01,More concerned than excited about AI (Pew),38,Pew Research Center,https://www.pewresearch.org/short-reads/2023/08/28/growing-public-concern-about-the-role-of-artificial-intelligence-in-daily-life/,December 2022 survey
2023-08-01,More concerned than excited about AI (Pew),52,Pew Research Center,https://www.pewresearch.org/short-reads/2023/08/28/growing-public-concern-about-the-role-of-artificial-intelligence-in-daily-life/,Fielded 31 Jul - 6 Aug 2023
2025-06-01,More concerned than excited about AI (Pew),50,Pew Research Center,https://www.pewresearch.org/short-reads/2026/03/12/key-findings-about-how-americans-view-artificial-intelligence/,June 2025 survey; 10% more excited than concerned
2023-05-01,AI does more harm than good (Gallup),40,Gallup,https://news.gallup.com/poll/694688/trust-businesses-improves-slightly.aspx,Fielded 8-15 May 2023
2024-05-01,AI does more harm than good (Gallup),31,Gallup,https://news.gallup.com/poll/648953/americans-express-real-concerns-artificial-intelligence.aspx,Fielded 29 Apr - 6 May 2024
2025-05-01,AI does more harm than good (Gallup),31,Gallup,https://news.gallup.com/poll/694688/trust-businesses-improves-slightly.aspx,Fielded 5-12 May 2025
2026-05-01,AI does more harm than good (Gallup),39,Gallup,https://news.gallup.com/poll/712751/americans-cool-toward.aspx,Fielded 4-11 May 2026
2023-05-01,AI will reduce US jobs over 10 years (Gallup),75,Gallup,https://news.gallup.com/poll/648953/americans-express-real-concerns-artificial-intelligence.aspx,Prior-year figure cited in Gallup's 2024 release
2024-05-01,AI will reduce US jobs over 10 years (Gallup),75,Gallup,https://news.gallup.com/poll/648953/americans-express-real-concerns-artificial-intelligence.aspx,Fielded 29 Apr - 6 May 2024
2025-05-01,AI will reduce US jobs over 10 years (Gallup),73,Gallup,https://news.gallup.com/poll/712751/americans-cool-toward.aspx,Fielded 6-12 May 2025
2026-05-01,AI will reduce US jobs over 10 years (Gallup),79,Gallup,https://news.gallup.com/poll/712751/americans-cool-toward.aspx,Fielded 4-11 May 2026
